07-07-2017 16:09:54.754,109,RECV,46460D
07-07-2017 16:09:54.815,110,SENT,415454320D
07-07-2017 16:09:54.855,111,RECV,46460D
07-07-2017 16:09:54.856,112,SENT,415454330D
07-07-2017 16:09:54.930,113,RECV,46460D
07-07-2017 16:09:54.930,114,SENT,415454340D
07-07-2017 16:09:54.962,115,RECV,46460D
07-07-2017 16:09:54.963,116,SENT,415454350D
07-07-2017 16:09:55.060,117,RECV,46460D
07-07-2017 16:09:55.065,118,SENT,415454360D
07-07-2017 16:09:55.114,119,RECV,46460D
07-07-2017 16:09:55.192,120,SENT,415454370D
07-07-2017 16:09:55.217,121,RECV,46460D
07-07-2017 16:09:55.217,122,SENT,415456520D
07-07-2017 16:09:55.310,123,RECV,313045460D
07-07-2017 16:09:55.316,124,SENT,415448560D
07-07-2017 16:09:55.373,125,RECV,313734420D
07-07-2017 16:09:55.374,126,SENT,415444420D
07-07-2017 16:09:55.442,127,RECV,300D
07-07-2017 16:09:55.448,128,SENT,415445430D
07-07-2017 16:09:55.476,129,RECV,300D
07-07-2017 16:09:55.477,130,SENT,415445410D
07-07-2017 16:09:55.568,131,RECV,310D
07-07-2017 16:09:55.569,132,SENT,415444440D
07-07-2017 16:09:55.579,133,RECV,3130
07-07-2017 16:09:55.629,134,RECV,3030300D
07-07-2017 16:09:55.705,135,SENT,415443540D
07-07-2017 16:09:55.731,136,RECV,36340D
07-07-2017 16:09:55.838,137,SENT,415447540D
07-07-2017 16:09:55.890,138,RECV,3345380D
07-07-2017 16:09:55.969,139,SENT,415443430D
07-07-2017 16:09:55.996,140,RECV,32420D
07-07-2017 16:09:56.103,141,SENT,4154434E0D
07-07-2017 16:09:56.153,142,RECV,4F4B0D
07-07-2017 16:09:57.486,143,SENT,2B
07-07-2017 16:09:57.486,144,SENT,2B
07-07-2017 16:09:57.487,145,SENT,2B
07-07-2017 16:09:58.537,146,RECV,4F4B0D
07-07-2017 16:09:58.609,147,SENT,41540D
07-07-2017 16:09:59.608,148,RECV,4F4B0D
